interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
2100.00,2400.00,corridor_aggregated_5mins_gen,135,41.37,114,5839,AGGREGATED,1345,1345,0.31,5823,43,0.11,375.22,54656.90,11.75,0.70,14722.02,375.81,6125.00
2400.00,2700.00,corridor_aggregated_5mins_all,133,47.79,137,6424,AGGREGATED,1321,1321,0.36,6440,43,0.16,398.88,63142.28,11.05,0.66,17384.80,398.00,7787.00
2400.00,2700.00,corridor_aggregated_5mins_bus,0,5.23,0,413,AGGREGATED,16,16,0.04,412,43,0.04,605.41,6905.06,7.29,0.44,1533.67,616.11,349.00
2400.00,2700.00,corridor_aggregated_5mins_gen,133,41.12,137,5857,AGGREGATED,1273,1273,0.31,5873,43,0.10,380.85,54325.31,11.57,0.69,15450.79,380.23,7288.00
2700.00,3000.00,corridor_aggregated_5mins_all,138,51.11,185,6873,AGGREGATED,1500,1500,0.39,6870,43,0.17,401.73,67527.53,10.97,0.66,19610.06,402.42,9283.00
2700.00,3000.00,corridor_aggregated_5mins_bus,0,4.90,0,387,AGGREGATED,28,28,0.04,386,43,0.04,628.44,6468.40,7.03,0.42,1574.33,642.99,464.00
2700.00,3000.00,corridor_aggregated_5mins_gen,138,44.83,185,6344,AGGREGATED,1442,1442,0.34,6342,43,0.11,384.63,59223.10,11.46,0.68,17559.74,385.54,8646.00
3000.00,3300.00,corridor_aggregated_5mins_all,143,55.84,160,7173,AGGREGATED,1617,1617,0.42,7199,43,0.18,415.79,73772.45,10.60,0.63,22750.26,416.05,10132.33
3000.00,3300.00,corridor_aggregated_5mins_bus,0,5.11,0,390,AGGREGATED,21,21,0.04,391,43,0.04,630.90,6754.88,7.00,0.42,1598.84,644.86,450.00
3000.00,3300.00,corridor_aggregated_5mins_gen,143,49.25,160,6633,AGGREGATED,1561,1561,0.37,6658,43,0.12,400.06,65068.84,11.02,0.66,20650.13,400.40,9441.33
3300.00,3600.00,corridor_aggregated_5mins_all,162,60.76,229,8014,AGGREGATED,1708,1708,0.46,8041,43,0.19,404.83,80267.99,10.89,0.65,23515.00,404.99,10405.00
3300.00,3600.00,corridor_aggregated_5mins_bus,0,5.28,0,406,AGGREGATED,29,29,0.04,409,43,0.04,627.79,6974.07,7.03,0.42,1602.64,641.06,407.00
3300.00,3600.00,corridor_aggregated_5mins_gen,162,54.03,229,7465,AGGREGATED,1651,1651,0.41,7489,43,0.13,389.75,71376.08,11.31,0.68,21439.62,390.13,9823.00
3600.00,3900.00,corridor_aggregated_5mins_all,181,64.35,177,8758,AGGREGATED,1649,1649,0.49,8739,43,0.20,397.02,85016.34,11.10,0.66,24311.37,397.06,9908.00
3600.00,3900.00,corridor_aggregated_5mins_bus,0,5.19,0,401,AGGREGATED,10,10,0.04,400,43,0.04,637.75,6859.30,6.92,0.41,1784.47,651.24,502.00
3600.00,3900.00,corridor_aggregated_5mins_gen,181,57.72,177,8201,AGGREGATED,1606,1606,0.44,8183,43,0.14,382.63,76260.83,11.52,0.69,22081.42,382.96,9305.00
3900.00,4200.00,corridor_aggregated_5mins_all,196,77.96,262,9215,AGGREGATED,1893,1893,0.59,9232,43,0.24,454.76,102994.07,9.69,0.58,38657.86,454.40,16084.02
3900.00,4200.00,corridor_aggregated_5mins_bus,0,5.47,0,378,AGGREGATED,28,28,0.04,378,43,0.05,690.81,7228.00,6.39,0.38,1991.04,706.32,709.00
3900.00,4200.00,corridor_aggregated_5mins_gen,196,70.93,262,8686,AGGREGATED,1827,1827,0.54,8703,43,0.18,442.30,93708.66,9.96,0.60,36090.86,442.02,15178.02
4200.00,4500.00,corridor_aggregated_5mins_all,222,76.76,188,9283,AGGREGATED,1896,1896,0.58,9255,43,0.23,448.85,101407.42,9.82,0.59,37245.04,448.80,16061.62
4200.00,4500.00,corridor_aggregated_5mins_bus,0,5.25,0,394,AGGREGATED,30,30,0.04,393,43,0.04,646.38,6939.74,6.83,0.41,1706.68,656.82,475.00
4200.00,4500.00,corridor_aggregated_5mins_gen,222,70.05,188,8747,AGGREGATED,1842,1842,0.53,8722,43,0.18,437.91,92546.51,10.06,0.60,34986.64,438.04,15396.62
